iteration,train_loss,val_loss,timestamp,lr,mfu
3240,5.112332,5.279845,1770373579.721891,0.00059318,0.0364
3250,5.338981,5.219818,1770373617.261895,0.00059307,0.0364
3260,5.113719,5.274142,1770373654.788107,0.00059296,0.0365
3270,5.38367,5.286264,1770373692.3309171,0.00059284,0.0365
3280,5.393858,4.852041,1770373729.8578346,0.00059273,0.0365
3290,5.233662,5.502472,1770373767.39809,0.00059262,0.0365
3300,5.458021,5.810312,1770373804.9208188,0.0005925,0.0365
3310,5.275263,5.937982,1770373842.4696474,0.00059239,0.0365
3320,5.301158,5.161499,1770373880.0014577,0.00059227,0.0365
3330,5.173383,5.114386,1770373917.540682,0.00059215,0.0366
3340,5.007539,5.360481,1770373955.0652122,0.00059204,0.0366
3350,4.804518,5.56424,1770373992.6148458,0.00059192,0.0366
3360,5.146357,4.988291,1770374030.1401916,0.0005918,0.0366
3370,5.242518,5.533037,1770374067.7694316,0.00059168,0.0366
3380,5.4885,5.32117,1770374105.21498,0.00059156,0.0366
3390,5.229972,5.071319,1770374142.7001662,0.00059143,0.0366
3400,5.204858,5.131721,1770374180.1385715,0.00059131,0.0366
3410,4.97263,5.290579,1770374217.6012511,0.00059119,0.0367
3420,4.943248,4.979963,1770374255.0530634,0.00059106,0.0367
3430,5.038801,5.207066,1770374292.509864,0.00059094,0.0367
3440,5.207883,5.086276,1770374329.9489434,0.00059081,0.0367
3450,4.63637,5.422707,1770374367.406629,0.00059068,0.0367
3460,5.231973,4.798438,1770374404.8459537,0.00059055,0.0367
3470,5.576007,5.236902,1770374442.305203,0.00059043,0.0367
3480,5.240809,5.265602,1770374479.7520938,0.0005903,0.0367
3490,5.302226,5.134759,1770374517.2133212,0.00059017,0.0367
3500,5.188152,5.210355,1770374567.4434233,0.00059003,0.0367
3510,4.976912,5.16773,1770374613.235373,0.0005899,0.0339
3520,4.897153,5.546797,1770374650.6770098,0.00058977,0.0342
3530,5.243765,4.930407,1770374688.126909,0.00058963,0.0345
3540,5.32068,5.148397,1770374725.545793,0.0005895,0.0347
3550,5.322711,5.241788,1770374763.0045822,0.00058936,0.0349
3560,4.906741,5.154461,1770374800.4427412,0.00058923,0.0351
3570,5.449663,4.97327,1770374837.9095912,0.00058909,0.0353
3580,5.421845,5.307166,1770374875.3537867,0.00058895,0.0354
3590,5.581667,5.016878,1770374912.8135743,0.00058881,0.0355
3600,4.903966,5.240261,1770374950.2573757,0.00058867,0.0357
3610,5.028002,4.894899,1770374987.7256904,0.00058853,0.0358
3620,5.461497,5.380129,1770375025.1598191,0.00058839,0.0359
3630,5.109619,5.143817,1770375062.619485,0.00058824,0.036
3640,4.958629,5.140593,1770375100.0668716,0.0005881,0.036
3650,5.177425,5.084947,1770375137.5249064,0.00058795,0.0361
3660,5.662175,5.196097,1770375174.9737902,0.00058781,0.0362
3670,5.143766,5.238467,1770375212.4292147,0.00058766,0.0362
3680,5.167117,5.260576,1770375249.8536668,0.00058752,0.0363
3690,5.288472,5.011852,1770375287.2971072,0.00058737,0.0364
3700,5.284833,5.587679,1770375324.7230692,0.00058722,0.0364
3710,5.270515,5.110383,1770375362.1719446,0.00058707,0.0364
3720,5.210736,5.050579,1770375399.6075523,0.00058692,0.0365
3730,5.319081,5.444339,1770375437.0682297,0.00058677,0.0365
3740,5.30782,5.340908,1770375474.4930792,0.00058662,0.0365
3750,5.166441,5.485898,1770375511.9277568,0.00058646,0.0366
3760,5.350193,5.142113,1770375549.3321545,0.00058631,0.0366
3770,5.555307,4.956557,1770375586.801273,0.00058615,0.0366
3780,5.13944,5.027937,1770375624.2424862,0.000586,0.0366
3790,5.19689,5.136744,1770375661.6968317,0.00058584,0.0366
3800,5.248867,5.115569,1770375699.117422,0.00058568,0.0366
3810,5.096757,5.238172,1770375736.5522404,0.00058553,0.0366
3820,5.322486,5.597554,1770375773.956079,0.00058537,0.0367
3830,5.006759,5.42688,1770375811.4316924,0.00058521,0.0367
3840,5.466191,5.449762,1770375848.8562512,0.00058505,0.0367
3850,5.418704,5.382558,1770375886.3123236,0.00058488,0.0367
3860,5.429089,4.87779,1770375923.7436042,0.00058472,0.0367
3870,5.220999,5.048655,1770375961.195703,0.00058456,0.0367
3880,5.083007,5.028675,1770375998.6153648,0.00058439,0.0367
3890,5.217407,5.307151,1770376036.055456,0.00058423,0.0367
3900,5.480879,5.195797,1770376073.4899347,0.00058406,0.0367
3910,5.342826,5.217868,1770376110.9473424,0.0005839,0.0367
3920,5.240359,5.448287,1770376148.383462,0.00058373,0.0367
3930,5.045074,5.306437,1770376185.825868,0.00058356,0.0367
3940,4.962552,5.128009,1770376223.245686,0.00058339,0.0367
3950,5.318266,5.356119,1770376260.6829302,0.00058322,0.0367
3960,5.341179,5.181865,1770376298.111355,0.00058305,0.0367
3970,5.275996,4.85544,1770376335.5709822,0.00058288,0.0367
3980,5.067122,5.005779,1770376373.007901,0.00058271,0.0367
3990,5.225834,4.971471,1770376410.454426,0.00058253,0.0367
4000,5.190735,5.172587,1770376460.5473387,0.00058236,0.0367
4010,5.314764,4.853201,1770376505.8204114,0.00058219,0.034
4020,5.499631,4.971475,1770376543.258267,0.00058201,0.0342
4030,5.002744,5.144627,1770376580.7202652,0.00058183,0.0345
4040,5.174808,5.414169,1770376618.151861,0.00058165,0.0347
4050,4.883458,5.23708,1770376655.5623434,0.00058148,0.0349
4060,5.043706,5.202553,1770376692.9538436,0.0005813,0.0351
4070,5.206972,5.221258,1770376730.3813632,0.00058112,0.0353
4080,5.189856,5.25164,1770376767.8264503,0.00058094,0.0354
4090,5.294081,5.124377,1770376805.274244,0.00058075,0.0356
4100,5.531134,4.995949,1770376842.711521,0.00058057,0.0357
4110,5.544859,5.219528,1770376880.165491,0.00058039,0.0358
4120,5.401626,4.961546,1770376917.5884607,0.0005802,0.0359
4130,4.913203,5.337814,1770376955.0200627,0.00058002,0.036
4140,4.665307,5.142555,1770376992.4930763,0.00057983,0.036
4150,5.195431,5.385941,1770377029.924122,0.00057965,0.0361
4160,5.092764,5.222284,1770377067.323594,0.00057946,0.0362
4170,5.233082,4.89725,1770377104.7900777,0.00057927,0.0362
4180,4.777704,5.143733,1770377142.1982243,0.00057908,0.0363
4190,4.767031,5.723111,1770377179.6916246,0.00057889,0.0364
4200,5.496862,5.707594,1770377217.1107442,0.0005787,0.0364
4210,5.067369,5.191985,1770377254.561276,0.00057851,0.0364
4220,5.422404,5.211765,1770377291.9871197,0.00057832,0.0365
4230,5.17309,5.353249,1770377329.4387832,0.00057812,0.0365
4240,4.55285,4.874893,1770377366.8680248,0.00057793,0.0365
4250,5.225678,5.275214,1770377404.3135495,0.00057773,0.0366
4260,5.109189,5.237732,1770377441.7322807,0.00057754,0.0366
4270,5.008223,5.187291,1770377479.1875615,0.00057734,0.0366
