iter 2320: loss 4.8477, time 3796.50ms, mfu 3.58%
iter 2330: loss 4.3567, time 3799.70ms, mfu 3.58%
iter 2340: loss 4.5515, time 3798.92ms, mfu 3.58%
iter 2350: loss 4.2599, time 3802.36ms, mfu 3.58%
iter 2360: loss 4.3454, time 3797.88ms, mfu 3.58%
iter 2370: loss 4.9091, time 3795.98ms, mfu 3.58%
iter 2380: loss 4.0407, time 3791.99ms, mfu 3.58%
iter 2390: loss 4.5586, time 3800.59ms, mfu 3.58%
Iter 2400: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2400: loss 4.2916, time 3796.06ms, mfu 3.58%
iter 2410: loss 4.4325, time 3794.79ms, mfu 3.58%
iter 2420: loss 4.1516, time 3794.03ms, mfu 3.59%
iter 2430: loss 4.3159, time 3793.16ms, mfu 3.59%
iter 2440: loss 4.2452, time 3792.81ms, mfu 3.59%
iter 2450: loss 4.6809, time 3799.08ms, mfu 3.59%
iter 2460: loss 4.4917, time 3801.11ms, mfu 3.59%
iter 2470: loss 4.1312, time 3785.82ms, mfu 3.59%
iter 2480: loss 4.3733, time 3797.66ms, mfu 3.59%
iter 2490: loss 4.1696, time 3786.03ms, mfu 3.59%
Iter 2500: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
step 2500: train loss 4.3823, val loss 4.3906
saving checkpoint to out-subset-norm
iter 2500: loss 4.1369, time 23369.97ms, mfu 3.29%
iter 2510: loss 4.2808, time 3798.73ms, mfu 3.32%
iter 2520: loss 4.4108, time 3806.56ms, mfu 3.34%
iter 2530: loss 3.9652, time 3794.17ms, mfu 3.37%
iter 2540: loss 4.2601, time 3803.39ms, mfu 3.39%
iter 2550: loss 3.9774, time 3846.60ms, mfu 3.41%
iter 2560: loss 4.3414, time 3793.19ms, mfu 3.42%
iter 2570: loss 4.3952, time 3796.56ms, mfu 3.44%
iter 2580: loss 4.1167, time 3789.00ms, mfu 3.46%
iter 2590: loss 4.2435, time 3799.21ms, mfu 3.47%
Iter 2600: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2600: loss 4.2481, time 3843.08ms, mfu 3.48%
iter 2610: loss 4.2454, time 3798.62ms, mfu 3.49%
iter 2620: loss 4.2828, time 3799.81ms, mfu 3.50%
iter 2630: loss 4.1967, time 3803.27ms, mfu 3.51%
iter 2640: loss 3.9904, time 3799.96ms, mfu 3.51%
iter 2650: loss 4.3885, time 3790.38ms, mfu 3.52%
iter 2660: loss 4.2873, time 3797.14ms, mfu 3.53%
iter 2670: loss 4.1122, time 3804.80ms, mfu 3.53%
iter 2680: loss 4.5453, time 3796.56ms, mfu 3.54%
iter 2690: loss 4.3712, time 3796.91ms, mfu 3.55%
Iter 2700: Alloc: 1.40GB, Cached: 5.88GB, Max: 4.97GB
iter 2700: loss 4.2802, time 3791.25ms, mfu 3.55%
iter 2710: loss 4.4994, time 3801.66ms, mfu 3.55%
iter 2720: loss 4.5529, time 3799.56ms, mfu 3.56%
